media_id,date,slug,media_type,mime_type,source_url,alt_text,title,attached_post_id,attached_page_slug
"1438","2021-11-30T17:58:46","img_5252","image","image/jpeg","https://lamickeyoga.com/wp-content/uploads/2021/11/IMG_5252.jpg","IMG_5252","1213",0,""
"1422","2021-11-30T17:48:50","office-yoga","image","image/png","https://lamickeyoga.com/wp-content/uploads/2021/11/Office-Yoga.png","Office Yoga","null",0,""
"1421","2021-11-30T17:48:22","20200724_134929","image","image/jpeg","https://lamickeyoga.com/wp-content/uploads/2021/11/20200724_134929-scaled.jpg","20200724_134929","null",0,""
"1417","2021-11-30T17:44:27","business-yoga","file","application/pdf","https://lamickeyoga.com/wp-content/uploads/2021/11/Business-Yoga.pdf","Business Yoga","null",0,""
"1379","2021-11-30T16:34:51","celina","image","image/png","https://lamickeyoga.com/wp-content/uploads/2021/11/Celina.png","Celina","254",0,""
"1377","2021-11-30T16:27:56","image0","image","image/jpeg","https://lamickeyoga.com/wp-content/uploads/2021/11/image0.jpeg","image0","254",0,""
"1371","2021-11-30T16:03:51","zhang-kaiyv-411983-unsplash-jpg","image","image/jpeg","https://lamickeyoga.com/wp-content/uploads/2021/11/zhang-kaiyv-411983-unsplash.jpg","zhang-kaiyv-411983-unsplash.jpg","null",0,""
"1370","2021-11-30T16:03:50","jeremy-bishop-104868-unsplash-jpg","image","image/jpeg","https://lamickeyoga.com/wp-content/uploads/2021/11/jeremy-bishop-104868-unsplash.jpg","jeremy-bishop-104868-unsplash.jpg","null",0,""
"1369","2021-11-30T16:03:48","louis-magnotti-27204-unsplash-jpg","image","image/jpeg","https://lamickeyoga.com/wp-content/uploads/2021/11/louis-magnotti-27204-unsplash.jpg","louis-magnotti-27204-unsplash.jpg","null",0,""
"1368","2021-11-30T16:03:47","pattern1-jpg","image","image/jpeg","https://lamickeyoga.com/wp-content/uploads/2021/11/pattern1.jpg","pattern1.jpg","null",0,""
"1346","2021-11-30T14:57:48","2021-11-30_15-57-16","image","image/png","https://lamickeyoga.com/wp-content/uploads/2021/11/2021-11-30_15-57-16.png","2021-11-30_15-57-16","254",0,""
"1339","2021-11-30T14:55:12","my-post","image","image/png","https://lamickeyoga.com/wp-content/uploads/2021/11/My-Post.png","My Post","254",0,""
"1323","2021-11-29T18:32:20","img_5416_dxo_lores_adobespark","image","image/png","https://lamickeyoga.com/wp-content/uploads/2021/11/IMG_5416_DxO_LoRes_adobespark-e1638210781683.png","yoga-with-yoga-bag","IMG_5416_DxO_LoRes_adobespark",323,""
"1292","2021-11-27T13:58:16","img_5416_dxo_small_adobespark-2","image","image/png","https://lamickeyoga.com/wp-content/uploads/2021/11/IMG_5416_DxO_small_adobespark-1-e1638190237287.png","IMG_5416_DxO_small_adobespark","null",0,""
"1215","2021-11-27T12:46:14","placeholder-png-2","image","image/png","https://lamickeyoga.com/wp-content/uploads/2021/11/placeholder.png","placeholder.png","null",0,""
